center image,left image,right image,steering angle,throttle,brake,speed
center_2020_04_22_15_41_59_603.jpg,left_2020_04_22_15_41_59_603.jpg,right_2020_04_22_15_41_59_603.jpg,0,0,0,1.17E-05
center_2020_04_22_15_41_59_730.jpg,left_2020_04_22_15_41_59_730.jpg,right_2020_04_22_15_41_59_730.jpg,0,0,0,4.09E-06
center_2020_04_22_15_41_59_821.jpg,left_2020_04_22_15_41_59_821.jpg,right_2020_04_22_15_41_59_821.jpg,0,0,0,2.17E-06
center_2020_04_22_15_41_59_934.jpg,left_2020_04_22_15_41_59_934.jpg,right_2020_04_22_15_41_59_934.jpg,0,0,0,1.28E-05
center_2020_04_22_15_42_00_041.jpg,left_2020_04_22_15_42_00_041.jpg,right_2020_04_22_15_42_00_041.jpg,0,0,0,2.95E-06
center_2020_04_22_15_42_00_155.jpg,left_2020_04_22_15_42_00_155.jpg,right_2020_04_22_15_42_00_155.jpg,0,0,0,3.80E-06
center_2020_04_22_15_42_00_261.jpg,left_2020_04_22_15_42_00_261.jpg,right_2020_04_22_15_42_00_261.jpg,0,0,0,1.37E-05
center_2020_04_22_15_42_00_422.jpg,left_2020_04_22_15_42_00_422.jpg,right_2020_04_22_15_42_00_422.jpg,0,0.4727604,0,0.6765403
center_2020_04_22_15_42_00_589.jpg,left_2020_04_22_15_42_00_589.jpg,right_2020_04_22_15_42_00_589.jpg,0,0.8441232,0,1.88297
center_2020_04_22_15_42_00_657.jpg,left_2020_04_22_15_42_00_657.jpg,right_2020_04_22_15_42_00_657.jpg,0,1,0,3.047138
center_2020_04_22_15_42_00_771.jpg,left_2020_04_22_15_42_00_771.jpg,right_2020_04_22_15_42_00_771.jpg,0,1,0,4.455227
center_2020_04_22_15_42_00_879.jpg,left_2020_04_22_15_42_00_879.jpg,right_2020_04_22_15_42_00_879.jpg,0,1,0,5.616464
center_2020_04_22_15_42_00_988.jpg,left_2020_04_22_15_42_00_988.jpg,right_2020_04_22_15_42_00_988.jpg,0,1,0,6.995232
center_2020_04_22_15_42_01_097.jpg,left_2020_04_22_15_42_01_097.jpg,right_2020_04_22_15_42_01_097.jpg,0,1,0,8.131942
center_2020_04_22_15_42_01_207.jpg,left_2020_04_22_15_42_01_207.jpg,right_2020_04_22_15_42_01_207.jpg,0,1,0,9.481412
center_2020_04_22_15_42_01_320.jpg,left_2020_04_22_15_42_01_320.jpg,right_2020_04_22_15_42_01_320.jpg,0,1,0,10.59385
center_2020_04_22_15_42_01_429.jpg,left_2020_04_22_15_42_01_429.jpg,right_2020_04_22_15_42_01_429.jpg,0,1,0,11.63519
center_2020_04_22_15_42_01_588.jpg,left_2020_04_22_15_42_01_588.jpg,right_2020_04_22_15_42_01_588.jpg,0,1,0,12.85374
center_2020_04_22_15_42_01_699.jpg,left_2020_04_22_15_42_01_699.jpg,right_2020_04_22_15_42_01_699.jpg,-0.15,1,0,14.25831
center_2020_04_22_15_42_01_761.jpg,left_2020_04_22_15_42_01_761.jpg,right_2020_04_22_15_42_01_761.jpg,-0.4,1,0,15.09321
