,center,left,right,angle,speed
0,center_2022_04_10_12_44_27_913.jpg,left_2022_04_10_12_44_27_913.jpg,right_2022_04_10_12_44_27_913.jpg,0.0,21.69488
1,center_2022_04_10_12_44_27_983.jpg,left_2022_04_10_12_44_27_983.jpg,right_2022_04_10_12_44_27_983.jpg,0.0,22.50011
2,center_2022_04_10_12_44_28_052.jpg,left_2022_04_10_12_44_28_052.jpg,right_2022_04_10_12_44_28_052.jpg,0.0,23.11461
3,center_2022_04_10_12_44_28_121.jpg,left_2022_04_10_12_44_28_121.jpg,right_2022_04_10_12_44_28_121.jpg,0.0,23.89061
4,center_2022_04_10_12_44_28_191.jpg,left_2022_04_10_12_44_28_191.jpg,right_2022_04_10_12_44_28_191.jpg,0.05,24.46815
5,center_2022_04_10_12_44_28_262.jpg,left_2022_04_10_12_44_28_262.jpg,right_2022_04_10_12_44_28_262.jpg,0.25,25.20827
6,center_2022_04_10_12_44_28_330.jpg,left_2022_04_10_12_44_28_330.jpg,right_2022_04_10_12_44_28_330.jpg,0.0,25.77825
7,center_2022_04_10_12_44_28_398.jpg,left_2022_04_10_12_44_28_398.jpg,right_2022_04_10_12_44_28_398.jpg,0.0,26.5376
8,center_2022_04_10_12_44_28_465.jpg,left_2022_04_10_12_44_28_465.jpg,right_2022_04_10_12_44_28_465.jpg,0.0,27.10345
9,center_2022_04_10_12_44_28_533.jpg,left_2022_04_10_12_44_28_533.jpg,right_2022_04_10_12_44_28_533.jpg,0.0,27.6659
10,center_2022_04_10_12_44_28_601.jpg,left_2022_04_10_12_44_28_601.jpg,right_2022_04_10_12_44_28_601.jpg,0.0,28.41069
11,center_2022_04_10_12_44_28_670.jpg,left_2022_04_10_12_44_28_670.jpg,right_2022_04_10_12_44_28_670.jpg,0.0,28.96539
12,center_2022_04_10_12_44_28_739.jpg,left_2022_04_10_12_44_28_739.jpg,right_2022_04_10_12_44_28_739.jpg,0.0,29.69974
13,center_2022_04_10_12_44_28_807.jpg,left_2022_04_10_12_44_28_807.jpg,right_2022_04_10_12_44_28_807.jpg,0.0,30.18591
14,center_2022_04_10_12_44_28_875.jpg,left_2022_04_10_12_44_28_875.jpg,right_2022_04_10_12_44_28_875.jpg,0.05,30.18987
15,center_2022_04_10_12_44_28_944.jpg,left_2022_04_10_12_44_28_944.jpg,right_2022_04_10_12_44_28_944.jpg,0.25,30.17476
16,center_2022_04_10_12_44_29_014.jpg,left_2022_04_10_12_44_29_014.jpg,right_2022_04_10_12_44_29_014.jpg,0.0,30.18279
17,center_2022_04_10_12_44_29_081.jpg,left_2022_04_10_12_44_29_081.jpg,right_2022_04_10_12_44_29_081.jpg,0.0,30.18952
18,center_2022_04_10_12_44_29_148.jpg,left_2022_04_10_12_44_29_148.jpg,right_2022_04_10_12_44_29_148.jpg,0.0,30.19007
19,center_2022_04_10_12_44_29_216.jpg,left_2022_04_10_12_44_29_216.jpg,right_2022_04_10_12_44_29_216.jpg,0.0,30.19019
20,center_2022_04_10_12_44_29_283.jpg,left_2022_04_10_12_44_29_283.jpg,right_2022_04_10_12_44_29_283.jpg,0.0,30.19045
21,center_2022_04_10_12_44_29_352.jpg,left_2022_04_10_12_44_29_352.jpg,right_2022_04_10_12_44_29_352.jpg,0.0,30.19027
22,center_2022_04_10_12_44_29_422.jpg,left_2022_04_10_12_44_29_422.jpg,right_2022_04_10_12_44_29_422.jpg,0.0,30.19022
23,center_2022_04_10_12_44_29_490.jpg,left_2022_04_10_12_44_29_490.jpg,right_2022_04_10_12_44_29_490.jpg,0.1,30.18782
24,center_2022_04_10_12_44_29_559.jpg,left_2022_04_10_12_44_29_559.jpg,right_2022_04_10_12_44_29_559.jpg,0.3,30.16937
25,center_2022_04_10_12_44_29_626.jpg,left_2022_04_10_12_44_29_626.jpg,right_2022_04_10_12_44_29_626.jpg,0.0,30.1901
26,center_2022_04_10_12_44_29_695.jpg,left_2022_04_10_12_44_29_695.jpg,right_2022_04_10_12_44_29_695.jpg,0.0,30.1896
27,center_2022_04_10_12_44_29_763.jpg,left_2022_04_10_12_44_29_763.jpg,right_2022_04_10_12_44_29_763.jpg,0.1,30.18932
28,center_2022_04_10_12_44_29_832.jpg,left_2022_04_10_12_44_29_832.jpg,right_2022_04_10_12_44_29_832.jpg,0.25,30.1775
29,center_2022_04_10_12_44_29_900.jpg,left_2022_04_10_12_44_29_900.jpg,right_2022_04_10_12_44_29_900.jpg,0.45,29.68245
30,center_2022_04_10_12_44_29_967.jpg,left_2022_04_10_12_44_29_967.jpg,right_2022_04_10_12_44_29_967.jpg,0.6000001,30.13194
31,center_2022_04_10_12_44_30_034.jpg,left_2022_04_10_12_44_30_034.jpg,right_2022_04_10_12_44_30_034.jpg,0.7500002,30.10227
32,center_2022_04_10_12_44_30_102.jpg,left_2022_04_10_12_44_30_102.jpg,right_2022_04_10_12_44_30_102.jpg,0.0,29.44979
33,center_2022_04_10_12_44_30_171.jpg,left_2022_04_10_12_44_30_171.jpg,right_2022_04_10_12_44_30_171.jpg,0.0,30.0307
